window_id,rank,raw_variable,component,family,position,condition_score,weight_normalized,weighted_score,share_of_condition_index_percent
24,3,LA BOMBA\VIX3-74442\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,la,73.1009779231996,0.050125313283208,3.6642094197092514,7.555622043725019
24,4,LL BOMBA\VIX4-74443\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,90.5119129234393,0.0401002506265664,3.62955039291987,7.484154920308071
24,5,LA MOTOR\VIX2-74445\Desplazamiento Pico a Pico [µm],motor,displacement_pp,la,90.07169468860934,0.0401002506265664,3.611897531372804,7.44775461274857
25,1,LA MOTOR\AC LA H MOTOR\Aceleración Rms [g],motor,acceleration_rms,la,86.63059150126182,0.0476190476190476,4.125266261964847,9.77282576527551
25,2,LL BOMBA\VIX4-74443\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,93.93546904645632,0.0401002506265664,3.766835851486969,8.923698041600268
25,3,LA BOMBA\AC LA A BOMBA\Aceleración Rms [g],bomba,acceleration_rms,la,61.13373799027584,0.0601503759398496,3.677217322723357,8.711390226460608
25,4,LA MOTOR\VIX2-74445\Desplazamiento Pico a Pico [µm],motor,displacement_pp,la,86.96129907372992,0.0401002506265664,3.487169887668366,8.261164628405437
25,5,LA MOTOR\AC LA H MOTOR\Velocidad Rms [mm/s],motor,velocity_rms,la,86.6442074394343,0.0401002506265664,3.474454433661524,8.231041502128479
26,1,LA BOMBA\VIX3-74442\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,la,83.44612775562106,0.050125313283208,4.182763296021105,9.386135507853314
26,2,LA MOTOR\AC LA H MOTOR\Aceleración Rms [g],motor,acceleration_rms,la,85.26653493702554,0.0476190476190476,4.060311187477406,9.111352546764683
26,3,LA MOTOR\VIY2-74446\Desplazamiento Pico a Pico [µm],motor,displacement_pp,la,97.23750348009504,0.0401002506265664,3.899248259853434,8.749926772227491
26,4,LL BOMBA\VIX4-74443\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,96.45120933979432,0.0401002506265664,3.867717667761175,8.679172012974842
26,5,LA MOTOR\AC LA H MOTOR\Velocidad Rms [mm/s],motor,velocity_rms,la,85.48921256637966,0.0401002506265664,3.4281388497796343,7.692755603544842
27,1,LA MOTOR\AC LA H MOTOR\Aceleración Rms [g],motor,acceleration_rms,la,83.3909393943928,0.0476190476190476,3.970997114018704,9.27057978734402
27,2,LL BOMBA\VIY4-74444\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,92.80779317589612,0.0401002506265664,3.721615766451973,8.688381006103137
27,3,LA BOMBA\VIX3-74442\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,la,68.12595415672708,0.050125313283208,3.414834794823411,7.972178653630688
27,4,LL BOMBA\VIX4-74443\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,85.12108353292737,0.0401002506265664,3.413376783275282,7.968774820286139
27,5,LA MOTOR\AC LA H MOTOR\Velocidad Rms [mm/s],motor,velocity_rms,la,84.93580393002665,0.0401002506265664,3.405947024762972,7.951429512014343
28,1,LA BOMBA\AC LA A BOMBA\Aceleración Rms [g],bomba,acceleration_rms,la,68.41532262803521,0.0601503759398496,4.1152073761224175,8.991130460149597
28,2,LL BOMBA\VIY4-74444\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,98.7285459591948,0.0401002506265664,3.9590394369601913,8.64992619354388
28,3,LA MOTOR\AC LA H MOTOR\Aceleración Rms [g],motor,acceleration_rms,la,81.42040100746323,0.0476190476190476,3.877161952736343,8.47103578168349
28,4,LA MOTOR\VIX2-74445\Desplazamiento Pico a Pico [µm],motor,displacement_pp,la,93.24635891760728,0.0401002506265664,3.739202362610816,8.169614113301819
28,5,LL BOMBA\VIX4-74443\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,90.63706127515869,0.0401002506265664,3.634568873189319,7.941005134967459
29,1,LA BOMBA\VIX3-74442\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,la,81.2056415632932,0.050125313283208,4.070458223723969,8.858185012037982
29,2,LA MOTOR\AC LA H MOTOR\Aceleración Rms [g],motor,acceleration_rms,la,80.8835809876715,0.0476190476190476,3.8515990946510223,8.381900881272973
29,3,LA MOTOR\VIY2-74446\Desplazamiento Pico a Pico [µm],motor,displacement_pp,la,94.55594816321592,0.0401002506265664,3.79171721957758,8.251585152892147
29,4,LA BOMBA\AC LA A BOMBA\Aceleración Rms [g],bomba,acceleration_rms,la,61.52845142350712,0.0601503759398496,3.700959484120728,8.05407696885903
29,5,LA MOTOR\AC LA H MOTOR\Velocidad Rms [mm/s],motor,velocity_rms,la,85.6017623671481,0.0401002506265664,3.4326521249984188,7.47018294598356
30,1,LA BOMBA\VIX3-74442\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,la,100.0,0.050125313283208,5.0125313283208,9.96712161568693
30,2,LA MOTOR\VIX2-74445\Desplazamiento Pico a Pico [µm],motor,displacement_pp,la,97.5202906362006,0.0401002506265664,3.910588095687241,7.775972774145173
30,3,LA BOMBA\AC LA A BOMBA\Aceleración Rms [g],bomba,acceleration_rms,la,64.92276033277228,0.0601503759398496,3.905128441069008,7.765116574354039
30,4,LL BOMBA\VIX4-74443\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,93.37767084433357,0.0401002506265664,3.744468003782798,7.44565281196045
30,5,LA MOTOR\AC LA H MOTOR\Aceleración Rms [g],motor,acceleration_rms,la,78.05756987315509,0.0476190476190476,3.717027136816908,7.391088273531812
31,1,LA BOMBA\VIX3-74442\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,la,83.07730741871407,0.050125313283208,4.164276061088423,9.750634921416024
31,2,LA MOTOR\VIY2-74446\Desplazamiento Pico a Pico [µm],motor,displacement_pp,la,96.06943026210396,0.0401002506265664,3.852408231061812,9.020397706179889
31,3,LL BOMBA\VIX4-74443\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,91.37760752531132,0.0401002506265664,3.664264963421004,8.579861034552913
31,4,LA MOTOR\AC LA H MOTOR\Aceleración Rms [g],motor,acceleration_rms,la,76.34188070990828,0.0476190476190476,3.635327652852774,8.512104443294481
31,5,LA MOTOR\AC LA H MOTOR\Velocidad Rms [mm/s],motor,velocity_rms,la,82.716805963503,0.0401002506265664,3.3169646501655325,7.766658808530844
32,1,LA BOMBA\VIX3-74442\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,la,74.98714439276125,0.050125313283208,3.758754104900312,8.743603626394913
32,2,LL BOMBA\VIX4-74443\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,92.53676192113258,0.0401002506265664,3.7107473452083215,8.63193043192148
32,3,LA MOTOR\AC LA H MOTOR\Aceleración Rms [g],motor,acceleration_rms,la,74.31395465741055,0.0476190476190476,3.538759745590977,8.231853343146591
32,4,LA BOMBA\AC LA A BOMBA\Aceleración Rms [g],bomba,acceleration_rms,la,55.26070769113658,0.0601503759398496,3.323952342324004,7.732168943006403
32,5,LA MOTOR\AC LA H MOTOR\Velocidad Rms [mm/s],motor,velocity_rms,la,79.6815897197097,0.0401002506265664,3.195251718083596,7.432785899204562
33,1,LA BOMBA\AC LA A BOMBA\Aceleración Rms [g],bomba,acceleration_rms,la,72.21227734473688,0.0601503759398496,4.343595629758608,10.425394789846038
33,2,LL BOMBA\VIY4-74444\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,92.75937303078796,0.0401002506265664,3.719674106497761,8.927873208114933
33,3,LL BOMBA\VIX4-74443\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,88.36979326886404,0.0401002506265664,3.5436508578993084,8.505386398740352
