Batch,weight_id,weight_variable,matched_raw_column,component,family,position,unit,value_stat,orientation,v0_estimated,h_estimated,hh_estimated,min_value,p01,p05,median_value,p95,p99,max_value,n_windows,threshold_method,threshold_warning
MEZCLA,17.0,Aceleración RMS — LM Variador Horizontal [g],LM VARIADOR\AC LM H VARIADOR\Aceleración Rms [g],variador,acceleration_rms,lm,g,mean,cost,0.799562480485,1.5965917003166663,1.98989688554,0.79366681115,0.7973345128915,0.799562480485,0.8298517799083334,1.5965917003166663,1.98989688554,2.1140514835,508,batch_percentile_p05_p95_p99,
MEZCLA,18.0,Velocidad RMS — LM Variador Horizontal [mm/s],LM VARIADOR\AC LM H VARIADOR\Velocidad Rms [mm/s],variador,velocity_rms,lm,mm/s,mean,cost,1.0387059251591666,1.105463825420833,1.1270977207116664,1.0258524123666666,1.033042803748833,1.0387059251591666,1.0743524096083334,1.105463825420833,1.1270977207116664,1.162230906,508,batch_percentile_p05_p95_p99,
MEZCLA,19.0,Aceleración RMS — LB Variador Horizontal [g],LB VARIADOR\AC LB H VARIADOR\Aceleración Rms [g],variador,acceleration_rms,lb,g,mean,cost,1.069872424975,1.2432878654499997,1.2688375600766668,0.6860553678666667,0.727432992864,1.069872424975,1.17679883175,1.2432878654499997,1.2688375600766668,1.2747623245,508,batch_percentile_p05_p95_p99,
MEZCLA,20.0,Velocidad RMS — LB Variador Horizontal [mm/s],LB VARIADOR\AC LB H VARIADOR\Velocidad Rms [mm/s],variador,velocity_rms,lb,mm/s,mean,cost,0.9950506824941666,1.0462954623466665,1.0838449634068332,0.98728247395,0.989571583988,0.9950506824941666,1.0127212313666665,1.0462954623466665,1.0838449634068332,1.1171640936666667,508,batch_percentile_p05_p95_p99,
MEZCLA,21.0,Aceleración RMS — LL Motor Horizontal [g],LL MOTOR\AC LL H MOTOR\Aceleración Rms [g],motor,acceleration_rms,ll,g,mean,cost,0.9854719357241668,1.2212635249916666,1.2327264700983334,0.9471266273,0.9672418475431668,0.9854719357241668,1.0715730408333335,1.2212635249916666,1.2327264700983334,1.244390253666667,508,batch_percentile_p05_p95_p99,
MEZCLA,22.0,Velocidad RMS — LL Motor Horizontal [mm/s],LL MOTOR\AC LL H MOTOR\Velocidad Rms [mm/s],motor,velocity_rms,ll,mm/s,mean,cost,1.342924992475,1.5000249494166669,1.5042489917783333,1.3284354453333334,1.335150051555,1.342924992475,1.4348171594166668,1.5000249494166669,1.5042489917783333,1.5073509808333334,508,batch_percentile_p05_p95_p99,
MEZCLA,23.0,Aceleración RMS — LL Bomba Horizontal [g],LL BOMBA\AC LL H BOMBA\Aceleración Rms [g],bomba,acceleration_rms,ll,g,mean,cost,0.4089985041608333,0.4856817466758333,0.491583943486,0.3971400217,0.4062523513745,0.4089985041608333,0.4199242594166666,0.4856817466758333,0.491583943486,0.4945443792333333,508,batch_percentile_p05_p95_p99,
MEZCLA,24.0,Velocidad RMS — LL Bomba Horizontal [mm/s],LL BOMBA\AC LL H BOMBA\Velocidad Rms [mm/s],bomba,velocity_rms,ll,mm/s,mean,cost,1.1917966910666666,1.5660110499666666,1.5898527880083333,1.1762758518333334,1.180550627513333,1.1917966910666666,1.22524175875,1.5660110499666666,1.5898527880083333,1.6006522281666666,508,batch_percentile_p05_p95_p99,
RUBIALES,1.0,Desplazamiento Pico a Pico VIX1 — LL Motor [µm],LL MOTOR\VIX1-74447\Desplazamiento Pico a Pico [µm],motor,displacement_pp,ll,um,mean,cost,24.832487739166663,29.15190311183333,29.335340422433333,24.560069295,24.637769320166665,24.832487739166663,27.41005807,29.15190311183333,29.335340422433333,29.72285328,339,batch_percentile_p05_p95_p99,
RUBIALES,2.0,Desplazamiento Pico a Pico VIY1 — LL Motor [µm],LL MOTOR\VIY1-74448\Desplazamiento Pico a Pico [µm],motor,displacement_pp,ll,um,mean,cost,25.097004352833327,29.41085056416667,29.59772156813333,24.818303055,24.9566124673,25.097004352833327,27.627232706666668,29.41085056416667,29.59772156813333,29.85505241666667,339,batch_percentile_p05_p95_p99,
