consolidated_rank,feature,raw_variable,statistic,family,component,position,unit,perm_importance_mean,shap_importance_mean_abs,consolidated_score
21,LA MOTOR\VIY2-74446\Desplazamiento Pico a Pico [µm]__p95,LA MOTOR\VIY2-74446\Desplazamiento Pico a Pico [µm],p95,displacement_pp,motor,la,um,0.0,0.0618828,0.903361344537815
22,LL BOMBA\AC LL H BOMBA\Velocidad Rms [mm/s]__median,LL BOMBA\AC LL H BOMBA\Velocidad Rms [mm/s],median,velocity_rms,bomba,ll,mm/s,0.0,0.05616362,0.8991596638655461
23,LA BOMBA\VIY3-74441\Desplazamiento Pico a Pico [µm]__p95,LA BOMBA\VIY3-74441\Desplazamiento Pico a Pico [µm],p95,displacement_pp,bomba,la,um,0.0,0.051751155,0.8949579831932772
24,LM VARIADOR\AC LM H VARIADOR\Aceleración Rms [g]__mean,LM VARIADOR\AC LM H VARIADOR\Aceleración Rms [g],mean,acceleration_rms,variador,lm,g,0.0,0.05076181,0.8907563025210083
25,LL BOMBA\VIX4-74443\Desplazamiento Pico a Pico [µm]__median,LL BOMBA\VIX4-74443\Desplazamiento Pico a Pico [µm],median,displacement_pp,bomba,ll,um,0.0,0.047517836,0.8865546218487395
26,LL BOMBA\VIX4-74443\Desplazamiento Pico a Pico [µm]__mean,LL BOMBA\VIX4-74443\Desplazamiento Pico a Pico [µm],mean,displacement_pp,bomba,ll,um,0.0,0.04614436,0.8823529411764706
27,LL MOTOR\AC LL H MOTOR\Aceleración Rms [g]__p05,LL MOTOR\AC LL H MOTOR\Aceleración Rms [g],p05,acceleration_rms,motor,ll,g,0.0,0.043565016,0.8781512605042017
28,LL BOMBA\AC LL H BOMBA\Aceleración Rms [g]__p05,LL BOMBA\AC LL H BOMBA\Aceleración Rms [g],p05,acceleration_rms,bomba,ll,g,0.0,0.04133593,0.8739495798319328
29,LA MOTOR\AC LA A MOTOR\Velocidad Rms [mm/s]__p05,LA MOTOR\AC LA A MOTOR\Velocidad Rms [mm/s],p05,velocity_rms,motor,la,mm/s,0.0,0.039884854,0.8697478991596639
30,LL BOMBA\VIY4-74444\Desplazamiento Pico a Pico [µm]__p95,LL BOMBA\VIY4-74444\Desplazamiento Pico a Pico [µm],p95,displacement_pp,bomba,ll,um,0.0,0.03898987,0.865546218487395
31,LB VARIADOR\AC LB H VARIADOR\Aceleración Rms [g]__mean,LB VARIADOR\AC LB H VARIADOR\Aceleración Rms [g],mean,acceleration_rms,variador,lb,g,0.0,0.036868855,0.8613445378151261
32,LL BOMBA\AC LL H BOMBA\Aceleración Rms [g]__mean,LL BOMBA\AC LL H BOMBA\Aceleración Rms [g],mean,acceleration_rms,bomba,ll,g,0.0,0.03676852,0.8571428571428572
33,LL MOTOR\VIY1-74448\Desplazamiento Pico a Pico [µm]__median,LL MOTOR\VIY1-74448\Desplazamiento Pico a Pico [µm],median,displacement_pp,motor,ll,um,0.0,0.03641109,0.8529411764705883
34,LL BOMBA\VIX4-74443\Desplazamiento Pico a Pico [µm]__p05,LL BOMBA\VIX4-74443\Desplazamiento Pico a Pico [µm],p05,displacement_pp,bomba,ll,um,0.0,0.03607064,0.8487394957983193
35,LL BOMBA\VIY4-74444\Desplazamiento Pico a Pico [µm]__median,LL BOMBA\VIY4-74444\Desplazamiento Pico a Pico [µm],median,displacement_pp,bomba,ll,um,0.0,0.035426006,0.8445378151260504
36,LM VARIADOR\AC LM H VARIADOR\Aceleración Rms [g]__p05,LM VARIADOR\AC LM H VARIADOR\Aceleración Rms [g],p05,acceleration_rms,variador,lm,g,0.0,0.034009054,0.8403361344537814
37,LA MOTOR\AC LA A MOTOR\Aceleración Rms [g]__mean,LA MOTOR\AC LA A MOTOR\Aceleración Rms [g],mean,acceleration_rms,motor,la,g,0.0038521947608315,0.032835964,0.8361344537815126
38,LA MOTOR\VIY2-74446\Desplazamiento Pico a Pico [µm]__iqr,LA MOTOR\VIY2-74446\Desplazamiento Pico a Pico [µm],iqr,displacement_pp,motor,la,um,0.0,0.033951793,0.8361344537815125
39,LL BOMBA\AC LL H BOMBA\Velocidad Rms [mm/s]__p95,LL BOMBA\AC LL H BOMBA\Velocidad Rms [mm/s],p95,velocity_rms,bomba,ll,mm/s,0.0,0.033368733,0.8319327731092436
40,LA MOTOR\AC LA A MOTOR\Velocidad Rms [mm/s]__mean,LA MOTOR\AC LA A MOTOR\Velocidad Rms [mm/s],mean,velocity_rms,motor,la,mm/s,0.0,0.032743275,0.8235294117647058
41,LL MOTOR\VIX1-74447\Desplazamiento Pico a Pico [µm]__p95,LL MOTOR\VIX1-74447\Desplazamiento Pico a Pico [µm],p95,displacement_pp,motor,ll,um,0.0,0.031439804,0.819327731092437
42,LA BOMBA\VIX3-74442\Desplazamiento Pico a Pico [µm]__p05,LA BOMBA\VIX3-74442\Desplazamiento Pico a Pico [µm],p05,displacement_pp,bomba,la,um,0.0,0.03134289,0.8151260504201681
43,LA BOMBA\AC LA A BOMBA\Velocidad Rms [mm/s]__median,LA BOMBA\AC LA A BOMBA\Velocidad Rms [mm/s],median,velocity_rms,bomba,la,mm/s,0.0,0.030655267,0.8109243697478992
44,LL BOMBA\AC LL H BOMBA\Velocidad Rms [mm/s]__p05,LL BOMBA\AC LL H BOMBA\Velocidad Rms [mm/s],p05,velocity_rms,bomba,ll,mm/s,0.0,0.027325692,0.8067226890756303
45,LA MOTOR\AC LA H MOTOR\Aceleración Rms [g]__iqr,LA MOTOR\AC LA H MOTOR\Aceleración Rms [g],iqr,acceleration_rms,motor,la,g,0.0,0.026884053,0.8025210084033614
46,LL BOMBA\AC LL H BOMBA\Aceleración Rms [g]__median,LL BOMBA\AC LL H BOMBA\Aceleración Rms [g],median,acceleration_rms,bomba,ll,g,0.0,0.026375636,0.7983193277310925
47,LA MOTOR\AC LA A MOTOR\Aceleración Rms [g]__p95,LA MOTOR\AC LA A MOTOR\Aceleración Rms [g],p95,acceleration_rms,motor,la,g,0.0,0.02494571,0.7941176470588236
48,LA MOTOR\AC LA A MOTOR\Aceleración Rms [g]__p05,LA MOTOR\AC LA A MOTOR\Aceleración Rms [g],p05,acceleration_rms,motor,la,g,0.0,0.024803894,0.7899159663865547
