window_id,window_start,window_end,Batch,has_near_transition,baseline_batch_used,condition_index,condition_index_available_weight,n_variables_used,n_variables_unmatched,assessment_method
89,2025-12-10 20:06:32,2025-12-10 20:07:31,CASTILLA,False,CASTILLA,21.55803286598509,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
90,2025-12-10 20:07:32,2025-12-10 20:08:31,CASTILLA,False,CASTILLA,22.25317499582588,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
91,2025-12-10 20:08:32,2025-12-10 20:09:31,CASTILLA,False,CASTILLA,17.285049333979906,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
92,2025-12-10 20:09:32,2025-12-10 20:10:31,CASTILLA,False,CASTILLA,20.43005899317963,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
93,2025-12-10 20:10:32,2025-12-10 20:11:31,CASTILLA,False,CASTILLA,19.241622041132008,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
94,2025-12-10 20:11:32,2025-12-10 20:12:31,CASTILLA,False,CASTILLA,17.79360248452237,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
95,2025-12-10 20:12:32,2025-12-10 20:13:31,CASTILLA,False,CASTILLA,17.68561705350932,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
96,2025-12-10 20:13:32,2025-12-10 20:14:31,CASTILLA,False,CASTILLA,17.31154896507705,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
97,2025-12-10 20:14:32,2025-12-10 20:15:31,CASTILLA,False,CASTILLA,18.936427199717755,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
98,2025-12-10 20:15:32,2025-12-10 20:16:31,CASTILLA,False,CASTILLA,24.21422223104175,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
99,2025-12-10 20:16:32,2025-12-10 20:17:31,CASTILLA,False,CASTILLA,23.929690627047083,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
100,2025-12-10 20:17:32,2025-12-10 20:18:31,CASTILLA,False,CASTILLA,20.383852491625568,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
101,2025-12-10 20:18:32,2025-12-10 20:19:31,CASTILLA,False,CASTILLA,20.721826439878544,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
102,2025-12-10 20:19:32,2025-12-10 20:20:31,CASTILLA,False,CASTILLA,25.982831850037837,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
103,2025-12-10 20:20:32,2025-12-10 20:21:31,CASTILLA,False,CASTILLA,25.825749361344823,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
104,2025-12-10 20:21:32,2025-12-10 20:22:31,CASTILLA,False,CASTILLA,19.930398020146296,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
105,2025-12-10 20:22:32,2025-12-10 20:23:31,CASTILLA,False,CASTILLA,18.524546966168213,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
106,2025-12-10 20:23:32,2025-12-10 20:24:31,CASTILLA,False,CASTILLA,22.756718958375384,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
107,2025-12-10 20:24:32,2025-12-10 20:25:31,CASTILLA,False,CASTILLA,13.131942453269303,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
108,2025-12-10 20:25:32,2025-12-10 20:26:31,CASTILLA,False,CASTILLA,14.608328877021856,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
109,2025-12-10 20:26:32,2025-12-10 20:27:31,CASTILLA,False,CASTILLA,14.10074382951994,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
110,2025-12-10 20:27:32,2025-12-10 20:28:31,CASTILLA,False,CASTILLA,13.578146633800197,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
111,2025-12-10 20:28:32,2025-12-10 20:29:31,CASTILLA,False,CASTILLA,10.218625899445469,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
112,2025-12-10 20:29:32,2025-12-10 20:30:31,CASTILLA,False,CASTILLA,13.883856042304323,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
113,2025-12-10 20:30:32,2025-12-10 20:31:31,CASTILLA,False,CASTILLA,14.672927416539205,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
114,2025-12-10 20:31:32,2025-12-10 20:32:31,CASTILLA,False,CASTILLA,12.579265542942252,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
115,2025-12-10 20:32:32,2025-12-10 20:33:31,CASTILLA,False,CASTILLA,8.518026233409984,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
116,2025-12-10 20:33:32,2025-12-10 20:34:31,CASTILLA,False,CASTILLA,7.415138929715256,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
117,2025-12-10 20:34:32,2025-12-10 20:35:31,CASTILLA,False,CASTILLA,10.547850759183222,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
118,2025-12-10 20:35:32,2025-12-10 20:36:31,CASTILLA,False,CASTILLA,13.730376886068653,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
119,2025-12-10 20:36:32,2025-12-10 20:37:31,CASTILLA,False,CASTILLA,7.741581453364257,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
120,2025-12-10 20:37:32,2025-12-10 20:38:31,CASTILLA,False,CASTILLA,12.471105703339576,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
121,2025-12-10 20:38:32,2025-12-10 20:39:31,CASTILLA,False,CASTILLA,8.322867138636056,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
122,2025-12-10 20:39:32,2025-12-10 20:40:31,CASTILLA,False,CASTILLA,11.09577971897779,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
123,2025-12-10 20:40:32,2025-12-10 20:41:31,CASTILLA,False,CASTILLA,7.06369532660278,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
124,2025-12-10 20:41:32,2025-12-10 20:42:31,CASTILLA,False,CASTILLA,8.469735105837582,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
125,2025-12-10 20:42:32,2025-12-10 20:43:31,CASTILLA,False,CASTILLA,9.069016720405235,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
126,2025-12-10 20:43:32,2025-12-10 20:44:31,CASTILLA,False,CASTILLA,9.15344766446281,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
127,2025-12-10 20:44:32,2025-12-10 20:45:31,CASTILLA,False,CASTILLA,8.407914202100683,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
128,2025-12-10 20:45:32,2025-12-10 20:46:31,CASTILLA,False,CASTILLA,7.417823560051447,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
129,2025-12-10 20:46:32,2025-12-10 20:47:31,CASTILLA,False,CASTILLA,6.784789646362671,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
130,2025-12-10 20:47:32,2025-12-10 20:48:31,CASTILLA,False,CASTILLA,9.041034756105644,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
131,2025-12-10 20:48:32,2025-12-10 20:49:31,CASTILLA,False,CASTILLA,12.880404030326828,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
132,2025-12-10 20:49:32,2025-12-10 20:50:31,CASTILLA,False,CASTILLA,13.59831884976887,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
